,,,insample,outOfSample,PnL,PPN
BTC,0.0,2022-08-08,0.054459079387067955,0.03647070985482548,373.7229430693456,0.00011121469630527674
BTC,0.0,2022-08-09,0.05522453668833793,0.10343990428470473,237.3382947450664,8.072079476506339e-05
BTC,0.0,2022-08-10,0.056548926872168614,0.0753679460970631,698.7335556092322,0.0002142895166666632
BTC,0.0,2022-08-11,0.06180934988415221,0.06799916511878934,291.44839449443793,9.714002772977165e-05
BTC,0.0,2022-08-12,0.0651656689883896,0.0683149261553645,273.6317512744979,9.181430468641425e-05
BTC,0.0,2022-08-13,0.07468900023502067,0.060367885319338566,236.77791399587812,8.640783012047784e-05
BTC,0.0,2022-08-14,0.07922859595159815,0.11131408075050131,385.5525708863172,0.00015544058079466604
BTC,0.0,2022-08-15,0.07815675111190212,0.04442914719396729,375.1439019545344,0.00012178513474152188
BTC,0.0,2022-08-16,0.07341892705625841,0.06954112633999132,350.4442999618862,0.00010683136021970734
BTC,0.0,2022-08-17,0.07796565395719979,0.15406848690424757,762.3850662515863,0.00030006153693577553
BTC,0.0,2022-08-18,0.07837892919044731,0.07809528906941221,335.0736505220087,0.00011965484190618877
BTC,0.0,2022-08-19,0.07989712219809486,-0.029188524033399554,295.220180715815,8.838146368986003e-05
BTC,0.0,2022-08-20,0.04937809231933643,0.07640956274699573,443.027193006742,0.0001959913112947988
BTC,0.0,2022-08-21,0.050983318286141444,-0.006447310700360864,359.5236985563399,0.0001473240705170579
BTC,0.0,2022-08-22,0.05017614097140255,0.08267969068280201,415.23988011727295,0.00018870978195001777
BTC,1e-07,2022-08-08,0.054459079387067955,0.03647070985482548,373.7229430693456,0.00011121469630527674
BTC,1e-07,2022-08-09,0.05522453668833793,0.10343990428470473,237.3382947450664,8.072079476506339e-05
BTC,1e-07,2022-08-10,0.056548926872168614,0.0753679460970631,698.7335556092322,0.0002142895166666632
BTC,1e-07,2022-08-11,0.0618088179068389,0.06793495842246111,291.44839449443793,9.714002772977165e-05
BTC,1e-07,2022-08-12,0.0651656689883896,0.0683149261553645,273.6317512744979,9.181430468641425e-05
BTC,1e-07,2022-08-13,0.07468900023502067,0.060367885319338566,236.77791399587812,8.640783012047784e-05
BTC,1e-07,2022-08-14,0.07922859595159815,0.11131408075050131,385.5525708863172,0.00015544058079466604
BTC,1e-07,2022-08-15,0.07815675111190212,0.04442914719396729,375.1439019545344,0.00012178513474152188
BTC,1e-07,2022-08-16,0.07341784974234478,0.06958707745430026,354.70119463369423,0.00010747365866623445
BTC,1e-07,2022-08-17,0.07796565395719979,0.15406848690424757,762.3850662515863,0.00030006153693577553
BTC,1e-07,2022-08-18,0.07837892919044731,0.07809528906941221,335.0736505220087,0.00011965484190618877
BTC,1e-07,2022-08-19,0.07989712219809486,-0.029188524033399554,295.220180715815,8.838146368986003e-05
BTC,1e-07,2022-08-20,0.04937809231933643,0.07640956274699573,443.027193006742,0.0001959913112947988
BTC,1e-07,2022-08-21,0.050983318286141444,-0.006447310700360864,359.5236985563399,0.0001473240705170579
BTC,1e-07,2022-08-22,0.05017614097140255,0.08267969068280201,415.23988011727295,0.00018870978195001777
BTC,2e-07,2022-08-08,0.054459079387067955,0.03647070985482548,373.7229430693456,0.00011121469630527674
BTC,2e-07,2022-08-09,0.05522453668833793,0.10343990428470473,237.3382947450664,8.072079476506339e-05
BTC,2e-07,2022-08-10,0.056548926872168614,0.0753679460970631,698.7335556092322,0.0002142895166666632
BTC,2e-07,2022-08-11,0.0618088179068389,0.06793495842246111,291.44839449443793,9.714002772977165e-05
BTC,2e-07,2022-08-12,0.0651656689883896,0.0683149261553645,273.6317512744979,9.181430468641425e-05
BTC,2e-07,2022-08-13,0.07468900023502067,0.060367885319338566,236.77791399587812,8.640783012047784e-05
BTC,2e-07,2022-08-14,0.07922859595159815,0.11131408075050131,385.5525708863172,0.00015544058079466604
BTC,2e-07,2022-08-15,0.07815675111190212,0.04442914719396729,375.1439019545344,0.00012178513474152188
BTC,2e-07,2022-08-16,0.07341784974234478,0.06958707745430026,354.70119463369423,0.00010747365866623445
BTC,2e-07,2022-08-17,0.07796565395719979,0.15406848690424757,762.3850662515863,0.00030006153693577553
BTC,2e-07,2022-08-18,0.07837892919044731,0.07809528906941221,335.0736505220087,0.00011965484190618877
BTC,2e-07,2022-08-19,0.07989712219809486,-0.029188524033399554,295.220180715815,8.838146368986003e-05
BTC,2e-07,2022-08-20,0.04937809231933643,0.07640956274699573,443.027193006742,0.0001959913112947988
BTC,2e-07,2022-08-21,0.050983318286141444,-0.006447310700360864,359.5236985563399,0.0001473240705170579
BTC,2e-07,2022-08-22,0.05017614097140255,0.08267969068280201,415.23988011727295,0.00018870978195001777
BTC,5e-07,2022-08-08,0.054459079387067955,0.03647070985482548,373.7229430693456,0.00011121469630527674
BTC,5e-07,2022-08-09,0.05522453668833793,0.10343990428470473,237.3382947450664,8.072079476506339e-05
BTC,5e-07,2022-08-10,0.056548926872168614,0.0753679460970631,698.7335556092322,0.0002142895166666632
BTC,5e-07,2022-08-11,0.061803820849436586,0.06798172257662405,291.7508202397279,9.85547523006438e-05
BTC,5e-07,2022-08-12,0.0651656689883896,0.0683149261553645,273.6317512744979,9.181430468641425e-05
BTC,5e-07,2022-08-13,0.07468900023502067,0.060367885319338566,236.77791399587812,8.640783012047784e-05
BTC,5e-07,2022-08-14,0.07922859595159815,0.11131408075050131,385.5525708863172,0.00015544058079466604
BTC,5e-07,2022-08-15,0.07815675111190212,0.04442914719396729,375.1439019545344,0.00012178513474152188
BTC,5e-07,2022-08-16,0.07341784974234478,0.06958707745430026,354.70119463369423,0.00010747365866623445
BTC,5e-07,2022-08-17,0.07796565395719979,0.15406848690424757,762.3850662515863,0.00030006153693577553
